film,user,star,time,content
不可饶恕,疯子,推荐,2013-05-29,"挺个性的西部片,那个库费小子的声音实在难听，长得憋屈，角色也不讨好，感觉跟一部分美国人很像--爱吹牛自大其实木有种"
憨豆先生的大灾难,[已注销],推荐,2011-06-01,搞破坏的他总是能在关键时刻把事情弄好。
憨豆先生的大灾难,tomshi,2012-06-19,2012-06-19,意外地发现，这片子其实我早已看过。好吧，就mark一下吧。
憨豆先生的大灾难,我叫金元宝呀,较差,2010-11-03,扣鼻屎大王Mr.BEAN，在我心目中你就是个扣了鼻屎到处乱弹的人。
憨豆先生的大灾难,山南是大神,较差,2013-06-03,节奏不对，情节安排的也不够巧妙。
憨豆先生的大灾难,Monster 德古拉,推荐,2010-02-03,憨豆很搞笑，喜欢
憨豆先生的大灾难,我不是柏柏人,力荐,2010-03-21,经典，陪伴我童年噶成长！
憨豆先生的大灾难,飞行麻瓜,还行,2011-05-26,第一部实在很一般..豆子先生头像那张名画还蛮荫的..
憨豆先生的大灾难,林思,还行,2011-01-19,可怜的戴维。觉得憨豆还真是惹祸精啊。不过还是笑的不行，特别是他自己画了一个头在上面的时候。
憨豆先生的大灾难,飛鳥,推荐,2009-01-06,"憨豆先生系列啊,又是童年的回忆"
憨豆先生的大灾难,带盐味糖水,推荐,2011-02-11,涂改油画的那个圆珠笔印迹笑死我了
憨豆先生的大灾难,Music-曼,力荐,2011-02-18,这两天突然很想念那个大眼浓眉表情搞笑话不多最好朋友是泰迪让我乐掉大牙的Mr.Bean。
憨豆先生的大灾难,書衣偵探華斯比,推荐,2013-11-26,海报变油画、胸腔取子弹、吓醒昏迷者，Doctor豆豆太生猛！总是好事-坏事-好事的节奏，跟他在一起总是提醒吊胆地要应付各种状况：（
憨豆先生的大灾难,阿瑟,还行,2012-05-16,只有憨豆程序化的表演
憨豆先生的大灾难,环境卫士小飞熊,力荐,2015-03-11,电影很好看啊。我就是担心，最后那幅画是假的，总会被博物馆里的人发现啊。
憨豆先生的大灾难,程程,推荐,2009-07-09,"看了他的表演,才叫惊艳  才叫一个人可以撑起一台戏...  Mr.Bean!!!"
憨豆先生的大灾难,F–A♭–F,2018-01-09,2018-01-09,卧槽这片20年了，黑得一点没过时。可以再刻薄一点的。
憨豆先生的大灾难,不如的我的,推荐,2007-05-03,五花八门的脸部表情
憨豆先生的大灾难,赛博大象,推荐,2018-11-15,拍护照时做鬼脸，把MM豆扔到天上去再接住，为囧事（如洗手时浇湿裤子）找到解决方式，给人添乱后厚着脸皮挺住，学习各种偶然看到的东西（如竖中指），独自回家后跟玩偶一起睡觉也很开心。——向憨豆先生学习寻开心。
憨豆先生的大灾难,psophos,2006-05-13,2006-05-13,應該只笑了一次－－看到他夜行俠的打扮時。既然大家都說這是喜劇，顯然是我不懂怎麼看喜劇。
憨豆先生的大灾难,MrZongli,还行,2020-08-13,不得不说，我不喜欢，憨豆先生的演戏风格！0930说英国人都很丑，还举了查尔斯王子的例子！1012憨豆坐头等舱！显摆！  为了5523这一段，憨豆利用海报给警卫下泻药。加一星！本来两星！
未来水世界,kuso,推荐,2010-12-07,小学看的，剧情都基本不记得了
未来水世界,颠僧TC,推荐,2012-06-05,独特的人总是面对孤独的命运，背对着人类最后的绿岛，迎向碧海蓝天，凯文科斯特纳自己也是这样。
未来水世界,[已注销],推荐,2012-05-22,各种设置很有趣，尤其是主角的船！虽然不太美观。。。
未来水世界,放风的人,较差,2009-05-10,凯文从这部片子跌入了低谷
未来水世界,ming,力荐,2011-05-03,个人觉得很好看，以前最初是我们初中政治老师给我们看的，哈哈
未来水世界,内触妙乐,很差,2012-01-19,除了大场面，想不出还有什么
未来水世界,手心空洞,还行,2012-02-26,我好像记得家里刚买vcd时候送过这么个片子，重看还真不怎么样，尽管是当时耗资最大的片子。有好几个场景还是不错的
未来水世界,飘荡的猪,推荐,2009-06-17,是部好片呀~况且在那个年代~很有启蒙意义啊，印象很深刻呐~
未来水世界,十八爷,2020-05-05,2020-05-05,这个场景道具的确是耗巨资，但照理说这种末日动作片应该不会让观众闷，不至于票房太惨。于是查了一下，当时上映美国票房确实一般，但全球票房还可以，再加上后期的影碟和电视放映，影片最终是盈利的。虽然是关于末日的想象，但整个情节还是英雄传奇，尤其是最后的大陆新生活，谈不上什么思考，就是90年代鸿篇巨制大爽片。
